hour	cpm	publisher	user_id
10	30.0	1	15661
8	41.26	1	8444
7	360.0	1	15821
18	370.0	1	21530
8	195.0	2	22148
5	70.0	2	16334
10	73.22	1	25931
6	60.0	1	26199
21	125.46	1	9603
22	165.0	2	4624
17	277.2	1	1670
19	91.0	1	12125
19	195.0	1	3401
13	73.8	1	12474
17	90.0	1	11554
15	30.0	1	10708
14	205.0	1	9413
8	37.22	1	21930
13	30.0	3	26934
20	135.2	3	6309
12	270.0	1	2608
13	30.0	1	22754
12	1629.53	1	7955
12	30.0	1	6059
13	290.0	1	5100
17	30.0	1	16085
4	75.0	3	1865
15	160.6	1	9598
8	63.0	1	15200
14	62.16	1	9628
9	60.0	1	25661
18	80.0	1	2325
11	82.41	1	21323
11	100.0	1	6713
12	60.0	1	20506
9	60.0	2	26881
19	58.42	4	13563
23	39.0	1	6805
5	150.0	1	11228
10	69.99	3	5683
13	88.8	1	23778
7	122.5	1	4406
7	75.0	1	25833
20	252.0	1	26728
11	114.63	2	14989
17	33.0	1	25687
11	42.5	1	19217
7	170.0	1	10557
15	30.0	5	16978
3	163.49	1	15004
10	100.3	1	5719
11	57.99	2	7888
6	45.0	6	24641
17	110.0	1	3550
17	97.56	1	10846
17	90.73	1	4180
12	73.97	1	6051
17	84.95	2	23991
16	77.82	1	27015
4	129.0	1	6911
12	60.0	5	21800
9	31.5	1	26561
14	148.16	1	2895
13	96.0	1	14044
9	30.0	2	15172
16	482.16	1	23284
11	57.5	1	7871
8	58.9	1	22486
7	32.55	1	6704
10	90.0	1	3983
14	30.0	2	17806
16	129.0	1	43
18	89.28	7	3912
21	63.28	3	717
20	33.99	2	8318
20	292.0	2	13722
21	73.0	2	16865
17	208.68	1	11161
9	250.0	1	11073
14	135.0	2	22306
6	439.36	2	15243
5	375.0	2	11410
13	30.0	2	14570
22	308.68	2	3306
12	50.0	2	24514
12	642.84	1	7874
19	177.3	1	11288
6	204.0	1	1088
5	194.0	1	22713
22	73.68	7	2718
10	259.62	1	2281
14	363.0	7	7796
13	45.0	2	25121
17	256.08	1	9743
17	30.0	1	16085
17	279.41	7	16101
16	135.0	2	12446
15	105.0	7	27586
5	70.0	6	24338
14	155.0	7	23057
9	86.0	3	19008
18	209.22	1	21862
18	50.8	7	21473
11	30.0	1	603
20	106.57	1	23504
21	103.22	1	4145
3	276.99	2	14001
12	131.76	1	8326
20	197.8	2	17557
9	90.0	2	25121
8	306.0	1	6701
